PassengerId,Spa,VRDeck,Name,Transported
0001_01,0.0,0.0,Maham Ofracculy,False
0002_01,549.0,44.0,Juanna Vines,True
0003_01,6715.0,49.0,Altark Susent,False
0003_02,3329.0,193.0,Solam Susent,False
0004_01,565.0,2.0,Willy Santantines,True
0005_01,291.0,0.0,Sandie Hinetthews,True
0006_01,0.0,0.0,Billex Jacostaffey,True
0006_02,0.0,,Candra Jacostaffey,True
0007_01,216.0,0.0,Andona Beston,True
0008_01,0.0,0.0,Erraiam Flatic,True
0008_02,0.0,0.0,Altardr Flatic,True
0008_03,110.0,124.0,Wezena Flatic,True
0009_01,0.0,113.0,Berers Barne,True
0010_01,0.0,24.0,Reney Baketton,False
0011_01,2.0,7.0,Elle Bertsontry,True
0012_01,0.0,0.0,Justie Pooles,False
0014_01,0.0,0.0,Flats Eccle,False
0015_01,0.0,637.0,Carry Hughriend,False
0016_01,0.0,0.0,Alus Upead,True
0017_01,0.0,0.0,Lyde Brighttt,True
0017_02,0.0,679.0,Philda Brighttt,False
0020_01,0.0,0.0,Almary Brantuarez,False
0020_02,0.0,0.0,Glendy Brantuarez,False
0020_03,0.0,0.0,Mollen Mcfaddennon,False
0020_04,0.0,0.0,Breney Jacostanley,True
0020_05,0.0,0.0,Mael Brantuarez,False
0020_06,0.0,0.0,Terta Mcfaddennon,False
0022_01,0.0,0.0,,False
0024_01,0.0,0.0,Penton Fullided,True
0025_01,998.0,0.0,Karard Brookenson,False
0026_01,1438.0,328.0,Anyoni Unconary,False
0028_01,48.0,0.0,Ceros Mare,False
0030_01,437.0,453.0,Ginia Morsentley,False
0031_01,0.0,1229.0,Coobix Datie,True
0031_02,0.0,0.0,Cinets Datie,True
0031_03,990.0,0.0,Dontch Datie,True
0034_01,0.0,0.0,Ziba Oingwhedly,True
0035_01,951.0,0.0,Luse Butte,False
0036_01,20.0,401.0,Marina Leodger,False
0038_01,2606.0,0.0,Loise Wheelez,False
0039_01,0.0,0.0,Jorgie Batthewitt,False
0041_01,0.0,0.0,Margia Moodsey,True
0043_01,2511.0,855.0,Ankalik Cylistrand,False
0044_01,0.0,0.0,Jodye Coopelandez,False
0044_02,0.0,0.0,Kayne Coopelandez,True
0044_03,0.0,0.0,Cassa Coopelandez,True
0045_01,0.0,64.0,Zelowl Chmad,False
0045_02,0.0,0.0,Mass Chmad,True
0050_01,,0.0,Sony Lancis,False
0051_01,1379.0,127.0,Vivia Johnshines,False
0052_01,4683.0,0.0,Elaney Hubbarton,False
0053_01,0.0,1.0,Elson Hickerson,True
0056_01,0.0,0.0,Okulas Tractive,True
0056_02,0.0,0.0,Instab Tractive,True
0056_03,286.0,3.0,Zinoces Tractive,True
0058_01,0.0,0.0,Warry Ayalazquez,False
0061_01,1377.0,1.0,Shanya Salez,False
0062_01,17.0,25.0,Sterry Greeves,False
0064_01,0.0,0.0,,True
0064_02,0.0,0.0,Colatz Keen,True
0066_01,0.0,460.0,Diandy Pecketton,False
0067_01,0.0,0.0,Ninaha Leeves,True
0067_02,0.0,0.0,Celine Leeves,True
0067_03,0.0,24.0,Velyne Leeves,False
0068_01,253.0,0.0,Cinst Binie,False
0069_01,6.0,0.0,,True
0070_01,1.0,726.0,Meremy Brighttt,False
0071_01,0.0,52.0,Nelly Dillines,False
0072_01,0.0,1063.0,Thell Brantuarez,False
0073_01,0.0,12.0,Gorn Make,False
0074_01,0.0,506.0,Aldibah Mostedry,True
0076_01,0.0,0.0,Conk Dal,True
0077_01,0.0,0.0,Pon Blité,True
0078_01,321.0,9654.0,Spuri Pokerheed,False
0081_01,0.0,0.0,Dellie Vinozarks,False
0082_01,0.0,0.0,Totse Datte,False
0082_02,0.0,0.0,Eaturs Datte,True
0082_03,0.0,0.0,,True
0084_01,0.0,17.0,Coren Coopezmaney,True
0085_01,0.0,0.0,Furudah Ellcefulve,True
0086_01,638.0,513.0,Jodye Kinson,False
0088_01,0.0,0.0,Stmeal Sacre,True
0090_01,0.0,0.0,Heremy Santry,True
0091_01,0.0,0.0,Deanne Yorkland,True
0091_02,188.0,0.0,Tinez Yorkland,False
0092_01,1.0,34.0,Gracy Dunnisey,False
0092_02,0.0,0.0,Stald Hewson,True
0092_03,0.0,0.0,Tiney Hewson,True
0097_01,3.0,637.0,Alchium Fictful,False
0098_01,32.0,0.0,Doria Carezquez,False
0098_02,0.0,87.0,Leence Carezquez,True
0099_01,37.0,0.0,Aliey Leetersoney,False
0099_02,0.0,0.0,Thewis Connelson,True
0101_01,0.0,0.0,Book Trad,True
0102_01,830.0,91.0,Ritany Holson,False
0103_01,0.0,17.0,Arlen Mclainez,True
0103_02,0.0,0.0,Shaele Mclainez,True
0103_03,0.0,0.0,Fanne Mclainez,False
0105_01,2.0,131.0,Carry Cleachrand,False
0107_01,0.0,0.0,Coobix Hart,False
0108_01,0.0,0.0,Natald Handertiz,False
0108_02,0.0,0.0,,False
0108_03,0.0,0.0,Oline Handertiz,True
0110_01,3929.0,764.0,Graviph Aloubtled,False
0110_02,0.0,1687.0,Aldeba Bootious,False
0110_03,1868.0,445.0,Alaratz Aloubtled,True
0110_04,0.0,0.0,Izark Aloubtled,True
0111_01,0.0,0.0,Aldera Supred,True
0112_01,17.0,13.0,Moth Cowtale,True
0113_01,0.0,0.0,Idary Carvis,True
0114_01,238.0,1.0,Maura Beckerson,False
0115_01,0.0,,Rohs Pead,True
0116_01,12.0,404.0,Alhenah Suptive,True
0119_01,65.0,6898.0,Batan Coning,False
0119_02,0.0,0.0,Kleeiak Coning,True
0120_01,0.0,,Bees Sacre,True
0122_01,699.0,74.0,Shelle Hayder,False
0123_01,0.0,1.0,Iree Fielson,False
0126_01,0.0,0.0,Milly Mish,True
0127_01,0.0,25.0,Miloss Mesty,False
0128_01,316.0,2.0,Grohs Fles,False
0128_02,0.0,0.0,Barave Fles,False
0129_01,0.0,0.0,Race Fowles,True
0133_01,0.0,0.0,Flynx Blie,True
0133_02,0.0,0.0,Egrasp Blie,False
0134_01,0.0,0.0,Camina Harmontry,True
0136_01,25.0,55.0,,False
0138_01,0.0,0.0,Fayene Gambs,True
0138_02,564.0,207.0,Monah Gambs,False
0139_01,0.0,0.0,Charda Myling,True
0140_01,0.0,0.0,Evaley Mejiaddox,True
0140_02,0.0,462.0,Verney Whitakers,False
0141_01,0.0,0.0,Pyrohs Harte,False
0144_01,0.0,0.0,Guadae Dayers,True
0146_01,0.0,0.0,Verly Wolferguson,False
0147_01,0.0,0.0,Samie Hubbarrison,True
0148_01,0.0,76.0,Corsh Pashe,False
0149_01,0.0,0.0,Billya Hubbarrison,True
0151_01,0.0,0.0,Shanie Simson,False
0152_01,0.0,607.0,Andan Estron,False
0160_01,0.0,61.0,Gory Atkinney,False
0163_01,0.0,0.0,Kabiton Hetforhaft,True
0163_02,0.0,0.0,Scharab Hetforhaft,True
0164_01,,135.0,Fany Hutchinton,True
0164_02,0.0,0.0,Ianya Hutchinton,False
0165_01,0.0,0.0,Graven Anche,True
0167_01,0.0,0.0,Miten Floaf,True
0167_02,22.0,137.0,Rios Floaf,False
0169_01,0.0,0.0,Wandy Fisherry,False
0170_01,221.0,567.0,Mollie Mcmahoney,False
0171_01,0.0,0.0,Coracy Gordanieves,True
0172_01,0.0,0.0,Hanna Johnshines,True
0173_01,5.0,0.0,Hilip Grifford,True
0174_01,115.0,175.0,Doryn Lambles,False
0177_01,14970.0,2111.0,Toperon Iniouser,False
0178_01,28.0,119.0,Wees Knik,False
0179_01,2.0,11.0,Elaney Webstephrey,True
0179_02,0.0,0.0,Raque Webstephrey,False
0179_03,0.0,0.0,Sallyl Webstephrey,True
0181_01,299.0,92.0,Nancis Brighttt,False
0182_01,0.0,0.0,Ksorab Disight,True
0183_01,0.0,232.0,Stany Weaves,True
0186_01,0.0,956.0,Camiet Shephendry,False
0188_01,0.0,0.0,Branda Romez,True
0189_01,202.0,98.0,Helly Booters,False
0190_01,0.0,0.0,,False
0192_01,0.0,0.0,Tance Adavisons,True
0192_02,0.0,0.0,Robyny Adavisons,False
0192_03,898.0,0.0,Lilace Adavisons,False
0193_01,0.0,0.0,Sps Raf,True
0193_02,1072.0,0.0,Frook Raf,False
0193_03,0.0,0.0,Goles Raf,True
0195_01,0.0,0.0,Bar Floaf,True
0196_01,0.0,7.0,Caper Emead,False
0197_01,795.0,575.0,Astrak Dissper,False
0198_01,0.0,0.0,Jeroy Cookson,True
0199_01,0.0,0.0,Regana Morrows,False
0200_01,0.0,0.0,Elia Colomonson,True
0201_01,0.0,0.0,Kaffias Bacistion,True
0201_02,0.0,0.0,Edaruma Bacistion,True
0202_01,0.0,0.0,Pomera Embleng,True
0202_02,878.0,443.0,Vegas Embleng,True
0203_01,0.0,0.0,Ancham Heateele,True
0205_01,0.0,705.0,Carma Oneiles,False
0206_01,1125.0,122.0,Nuson Brugashed,True
0207_01,0.0,0.0,Thony Mcfaddennon,False
0210_01,0.0,0.0,Arraid Inicont,True
0211_01,0.0,0.0,Pebuts Appie,True
0211_02,0.0,0.0,Corsh Appie,True
0211_03,182.0,0.0,Picers Date,False
0212_01,51.0,739.0,Inen Workmans,False
0212_02,10.0,387.0,Shally Workmans,False
0213_01,0.0,146.0,Carita Navages,False
0216_01,0.0,1918.0,Searla Garnes,False
0217_01,27.0,0.0,Prilly Shieldson,False
0219_01,0.0,0.0,Nica River,True
0220_01,0.0,0.0,Tyle Wilsoney,True
0220_02,0.0,0.0,Wena Wilsoney,True
0220_03,0.0,0.0,Branca Wilsoney,False
0220_04,0.0,0.0,Dont Wilsoney,False
0220_05,0.0,1099.0,Velyne Wilsoney,False
0220_06,0.0,0.0,Weney Wilsoney,False
0220_07,0.0,0.0,Guye Wilsoney,True
0221_01,0.0,0.0,Cowhex Blan,False
0221_02,2.0,0.0,Yogark Reke,False
0221_03,1.0,0.0,Jacks Reke,False
0221_04,0.0,0.0,Eerch Reke,True
0221_05,43.0,1023.0,Panbug Reke,False
0221_06,234.0,0.0,Gran Reke,False
0221_07,0.0,0.0,Rohs Reke,False
0222_01,11.0,0.0,Gone Perte,False
0222_02,0.0,0.0,Colf Deva,True
0222_03,0.0,0.0,Grake Perte,True
0223_01,0.0,9.0,Evan Sykess,False
0224_01,1634.0,0.0,Blues Queen,False
0225_01,0.0,0.0,Carly Hortis,True
0229_01,713.0,79.0,Done Sellahaney,False
